8,Central 1,522108,PSSB DAMANSARA DAMAI,666666,,Brh,1S,165,105.10,144.02,125.37,,110.11,132.20,122.58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.84,37.61,122.45,A,A,7,4
47,Central 1,121111,DMM SALES SDN BHD(SG BULUH),222222,,Dlr,1S,145,106.62,133.08,138.44,,86.84,92.22,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.82,41.53,101.35,C,C,19,5
44,Central 1,121071,DMM SALES SDN BHD(AMPANG),222222,,Dlr,1S,117,100.00,126.48,132.98,,52.78,100.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.75,39.89,94.64,C,C,22,6
59,Central 1,122109,ONE-BUILTWELL SDN BHD,222222,,Dlr,1S,115,101.77,149.63,152.92,,21.05,35.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.21,45.88,94.08,C,C,25,7
72,Central 1,121168,YAUMAN AUTO SDN BHD,222222,,Dlr,1S,107,100.00,137.72,135.73,,2.86,6.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.28,40.72,82.00,C,C,36,8
45,Central 1,121075,DMM SALES SDN BHD(BSP),222222,,Dlr,1S,103,91.15,96.62,122.00,,45.45,75.56,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.37,36.60,81.97,C,C,37,9
74,Central 1,122067,ZAMAHAN SDN BHD (109503-K),222222,,Dlr,1S,183,102.23,111.02,125.69,,28.00,36.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.80,37.71,81.51,C,C,38,10
67,Central 1,121146,SILVER TOOLS (M) SDN BHD,222222,,Dlr,1S,111,96.52,95.60,114.86,,37.50,37.78,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.56,34.46,76.02,D,C,50,11
64,Central 1,122151,PUSPA CANGGIH SDN BHD,222222,,Dlr,1S,143,102.14,110.04,110.46,,25.64,27.78,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.46,33.14,75.60,D,D,51,12
73,Central 1,121054,YBK SERVICES SDN BHD,222222,,Dlr,1S,98,85.22,82.96,114.27,,37.14,68.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.58,34.28,74.87,D,D,53,13
53,Central 1,122153,HAJOON SDN BHD PANDAN INDAH (PI),222222,,Dlr,1S,185,102.21,110.48,113.85,,12.68,7.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.05,34.15,73.20,D,C,54,14
71,Central 1,121103,WRC AUTO SDN BHD,222222,,Dlr,1S,101,84.17,123.66,63.79,,48.65,63.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.75,19.14,65.88,D,D,58,15
58,Central 1,121162,MKS AUTO SDN BHD,222222,,Dlr,1S,116,102.65,91.83,54.55,,20.45,71.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.09,16.37,60.45,D,D,62,16
60,Central 1,121143,OTOMOBIL SEPADU SDN BHD,222222,,Dlr,1S,128,107.56,147.79,45.72,,14.63,17.78,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.68,13.72,60.40,D,D,63,17
62,Central 1,121057,PANTAS MOTORS (M) SDN BHD,222222,,Dlr,1S,93,87.74,87.00,55.81,,26.47,48.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.46,16.74,55.20,D,D,65,18
87,Central 1,221048,,221048,KEAN TAT CAR SERVICES SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,971,107.77,117.87,192.46,143.85,111.90,200.00,39.33,70.71,40.84,111.54,A,B,6,1
84,Central 1,221021,,221021,DASUKI MOTORS SDN. BHD.,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1713,106.73,119.43,150.37,130.08,103.54,200.00,56.67,68.90,41.63,110.53,A,A,7,2
76,Central 1,221022,,221022,AAW SOLUTIONS SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2101,101.50,107.48,187.87,126.35,104.60,197.98,54.96,64.85,44.06,108.91,A,A,8,3
17,Central 1,622101,,622101,SUBANG JAYA,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2613,101.59,105.09,144.58,140.13,112.91,199.11,52.49,66.28,40.09,106.37,A,B,10,4
13,Central 1,622201,,622201,KEPONG,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2252,100.31,97.31,154.49,138.63,115.50,190.91,52.33,64.28,40.19,104.47,A,A,11,5
78,Central 1,221113,,221113,ACCESSCORP AUTOMOBILE SDN BHD (SUB OUTLET),Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1009,118.01,114.68,164.79,137.04,163.47,77.55,59.58,75.81,33.69,109.50,B,B,19,6
12,Central 1,622202,,622202,CHERAS,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2297,114.91,113.19,175.22,184.52,143.79,80.28,47.35,77.40,31.80,109.20,B,B,20,7
15,Central 1,622204,,622204,SEGAMBUT,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2041,111.11,107.69,134.26,148.81,118.57,198.65,51.15,69.91,38.91,108.82,B,B,21,8
91,Central 1,221018,,221018,SYARIKAT PERNIAGAAN SOON LEE,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1963,132.55,111.99,96.05,99.59,175.12,200.00,38.55,75.46,32.94,108.40,B,B,23,9
89,Central 1,222084,,222084,SERI KEMBANGAN AUTO SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,745,103.04,140.95,200.54,124.73,97.43,75.00,33.36,72.37,30.05,102.42,B,B,39,10
77,Central 1,222053,,222053,ACCESSCORP AUTOMOBILE SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,943,115.85,108.89,121.63,93.94,122.64,182.22,45.89,66.48,35.32,101.80,B,B,42,11
79,Central 1,221055,,221055,ANM AUTOMOBILE SDN BHD.,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,918,94.64,125.15,124.17,100.11,85.85,181.82,55.78,63.81,37.87,101.68,B,B,44,12
81,Central 1,222032,,222032,BENGKEL ANDA  AUTO SERVIS,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1279,100.08,102.77,124.29,134.21,98.70,194.74,47.32,63.64,36.88,100.52,B,B,46,13
90,Central 1,222108,,222108,SUPER-SKILL AUTOMOBILE,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1168,101.04,108.69,145.45,117.97,104.09,134.04,52.73,64.26,35.01,99.27,B,B,50,14
14,Central 1,622203,,622203,KERAMAT,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,2352,101.60,101.94,143.44,141.24,124.24,86.00,53.30,66.65,31.15,97.79,B,B,51,15
80,Central 1,222071,,222071,ASJATI SDN. BHD.,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1263,102.43,102.15,101.33,90.47,112.79,193.44,49.49,61.25,35.46,96.71,B,B,54,16
88,Central 1,221020,,221020,SOONG MENG MOTOR SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,986,102.07,101.82,85.30,102.95,76.64,190.91,50.37,58.97,34.19,93.16,B,B,62,17
82,Central 1,222034,,222034,BUMIVIN HOLDINGS  (M) SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,779,100.65,89.99,66.67,104.00,100.89,200.00,54.13,58.15,34.32,92.48,B,B,64,18
83,Central 1,222033,,222033,COMMECTS (M) SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,828,100.49,102.73,111.11,119.20,131.03,77.78,46.28,65.26,26.22,91.48,B,B,68,19
86,Central 1,221049,,221049,FRONTLINE MOTOR SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1523,99.54,106.11,101.86,144.42,87.30,79.37,41.28,64.24,24.40,88.64,B,B,71,20
85,Central 1,221083,,221083,DC AUTO SERVICES SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1318,108.21,99.30,101.51,123.26,93.70,55.38,52.58,62.84,25.17,88.01,B,B,73,21
