6,Central 1,121111,DMM SALES SDN BHD(SG BULUH),222222,,Dlr,1S,138,100.73,,108.12,130.60,88.24,61.94,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.06,39.18,91.24,23,6,C,C
7,Central 1,122067,ZAMAHAN SDN BHD (109503-K),222222,,Dlr,1S,141,106.82,,131.79,123.71,35.90,46.97,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.58,37.11,86.70,27,7,C,C
8,Central 1,121146,SILVER TOOLS (M) SDN BHD,222222,,Dlr,1S,107,105.94,,91.54,121.21,37.84,46.06,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.87,36.36,80.24,32,8,C,C
9,Central 1,121174,HAJOON SDN BHD BATU CAVES (BTC),222222,,Dlr,1S,129,102.38,,126.04,122.69,21.62,16.11,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.11,36.81,79.91,33,9,C,C
10,Central 1,121168,YAUMAN AUTO SDN BHD,222222,,Dlr,1S,100,101.01,,122.93,123.17,9.09,11.25,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.56,36.95,77.51,35,10,C,C
11,Central 1,121075,DMM SALES SDN BHD(BSP),222222,,Dlr,1S,72,80.00,,93.65,126.10,16.28,52.73,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.16,37.83,74.99,37,11,C,C
12,Central 1,122153,HAJOON SDN BHD PANDAN INDAH (PI),222222,,Dlr,1S,203,108.56,,90.76,122.89,16.36,7.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.01,36.87,74.88,38,12,C,C
13,Central 1,121054,YBK SERVICES SDN BHD,222222,,Dlr,1S,113,100.00,,117.83,115.87,32.26,65.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.71,34.76,82.47,46,13,D,D
14,Central 1,122109,ONE-BUILTWELL SDN BHD,222222,,Dlr,1S,103,84.43,,134.87,105.60,10.00,26.25,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.42,31.68,72.10,51,14,D,C
15,Central 1,121162,MKS AUTO SDN BHD,222222,,Dlr,1S,111,109.90,,143.55,53.96,38.89,61.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.74,16.19,69.92,52,15,D,D
16,Central 1,121143,OTOMOBIL SEPADU SDN BHD,222222,,Dlr,1S,129,106.61,,176.28,54.45,17.14,14.17,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.36,16.34,66.69,54,16,D,D
17,Central 1,122151,PUSPA CANGGIH SDN BHD,222222,,Dlr,1S,129,105.74,,120.11,55.62,37.14,32.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.33,16.69,63.02,60,17,D,D
18,Central 1,121103,WRC AUTO SDN BHD,222222,,Dlr,1S,111,88.80,,121.38,65.96,32.26,37.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.97,19.79,62.75,61,18,D,D
19,Central 1,121057,PANTAS MOTORS (M) SDN BHD,222222,,Dlr,1S,91,82.73,,99.09,45.90,28.13,50.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.45,13.77,53.22,66,19,D,D
1,Central 1,222034,,222034,BUMIVIN HOLDINGS  (M) SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,811,104.78,108.77,25.28,98.02,93.36,200.00,113.69,62.19,45.31,107.50,7,1,A,B
2,Central 1,221021,,221021,DASUKI MOTORS SDN. BHD.,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1764,109.91,119.26,43.75,138.34,120.38,200.00,56.33,71.69,33.02,104.71,16,2,B,B
3,Central 1,222084,,222084,SERI KEMBANGAN AUTO SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,763,105.53,150.90,56.10,151.46,119.40,77.78,49.05,79.59,22.48,102.07,20,3,B,B
4,Central 1,221113,,221113,ACCESSCORP AUTOMOBILE SDN BHD (SUB OUTLET),Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,944,110.41,109.75,51.32,135.29,116.44,191.67,52.71,68.87,32.09,100.96,23,4,B,B
5,Central 1,222108,,222108,SUPER-SKILL AUTOMOBILE,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1266,109.52,109.52,46.87,97.69,126.60,200.00,51.48,66.18,32.10,98.29,27,5,B,B
6,Central 1,222071,,222071,ASJATI SDN. BHD.,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1243,100.81,105.09,32.05,97.56,209.67,185.86,38.80,71.02,26.74,97.76,30,6,B,B
7,Central 1,222032,,222032,BENGKEL ANDA  AUTO SERVIS,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1428,111.74,112.87,37.59,118.51,107.78,197.70,42.98,67.57,29.14,96.70,34,7,B,B
